FGHz,S11dB,S11deg,S21dB,S21deg
15.0,-0.0007844235948672768,101.64041299678053,-37.432728834484664,11.640412996780494
15.05,-0.0007322519989529984,100.00019749668954,-37.73160357462894,10.000197496689598
15.1,-0.0006822608921183521,98.35452995821502,-38.03867946102923,8.354529958215133
15.15,-0.0006343709994179686,96.70329458589458,-38.354727086872124,6.7032945858943425
15.2,-0.0005885106623213195,95.04637938443953,-38.68059400935532,5.046379384439456
15.25,-0.0005446154512103998,93.38367610566603,-39.017215833006674,3.383676105666005
15.3,-0.0005026278019347904,91.71508018683751,-39.36562935324518,1.7150801868373442
15.35,-0.0004624966719497244,90.04049067831302,-39.72698823954886,0.04049067831319221
15.4,-0.0004241772113338945,88.35981015810846,-40.102581873918425,-1.640189841891458
15.45,-0.0003876304438628014,86.67294463065444,-40.493858141802676,-3.3270553693454503
15.5,-0.00035282295285779064,84.97980340665355,-40.90245121971365,-5.020196593346725
15.55,-0.00031972656606847995,83.28029896045096,-41.3302157424702,-6.719701039549255
15.6,-0.0002883180332188689,81.57434676073755,-41.77926920384334,-8.425653239262516
15.65,-0.0002585786889846687,79.86186506971345,-42.252045109561855,-10.138134930286565
15.7,-0.00023049409324101423,78.1427747049485,-42.75136035537757,-11.85722529505161
15.75,-0.00020405363905734648,76.41699875712197,-43.28050169631112,-13.583001242877794
15.8,-0.00017925011750851138,74.68446225548855,-43.843338247305255,-15.31553774451166
15.85,-0.00015607922641751217,72.94509177129655,-44.44447011360131,-17.054908228703376
15.9,-0.00013453900796989442,71.19881494731047,-45.089428171692745,-18.8011850526899
15.95,-0.00011462919737019297,69.44555993905755,-45.78494791244209,-20.554440060942486
16.0,-9.63504615304402e-5,67.685254750095,-46.53935329493891,-22.31474524990531
16.05,-7.970350285479606e-5,65.91782643953002,-47.36310888031534,-24.08217356047045
16.1,-6.468799871058081e-5,64.14320017463,-48.26963830367316,-25.8567998253702
16.15,-5.130134184673955e-5,62.361298094522986,-49.276581516243574,-27.63870190547758
16.2,-3.953714104528676e-5,60.572037942002446,-50.40781026141925,-29.42796205799694
16.25,-2.9383434595308098e-5,58.77533140872852,-51.696832218752284,-31.224668591271637
16.3,-2.0820562321945786e-5,56.971082123382565,-53.192928975682634,-33.028917876617015
16.35,-1.3818635156422007e-5,55.159183191658045,-54.97319851662851,-34.84081680834286
16.4,-8.334536433699739e-6,53.33951416855503,-57.169032786261134,-36.66048583144341
16.45,-4.30838829439806e-6,51.51193730503599,-60.03469689511114,-38.48806269496243
16.5,-1.6594245120206387e-6,49.67629285783752,-64.17826893344998,-40.323707142165034
16.55,-2.812360705600128e-7,47.83239317678146,-71.88713303055894,-42.16760682321326
16.6,-3.641234657771504e-8,45.98001517846901,-80.76535633891172,135.98001517849437
16.65,-7.50715697936379e-7,44.11889066359502,-67.62308851614429,134.11889066359433
16.7,-2.207148547074164e-6,42.24869371377402,-62.939528583242165,132.2486937137738
16.75,-4.1406880578870665e-6,40.369024075142995,-60.207120044940154,130.36902407514313
16.8,-6.23523818367606e-6,38.47938493895906,-58.4293157508293,128.47938493895893
16.85,-8.12579302817988e-6,36.5791527623785,-57.27918961382039,126.57915276237972
16.9,-9.411520230762264e-6,34.66753556196804,-56.64125001779666,124.66753556196791
16.95,-9.690652236735853e-6,32.74351415370896,-56.51431787259473,122.74351415370771
17.0,-8.63815912328843e-6,30.805757554712542,-57.01363543300197,120.80575755471277
17.05,-6.16734107551307e-6,28.852498168877496,-58.476866525117984,118.85249816887793
17.1,-2.758124381989515e-6,26.881342432614975,-61.97170601728516,116.88134243261577
17.15,-1.2431229935382266e-7,24.88897417679403,-75.43270216291712,114.8889741767991
17.2,-2.5936018176182237e-6,22.87067220791453,-62.23881139116333,-67.12932779208472
17.25,-2.00551233792381e-5,20.81949028967202,-53.35559975951378,-69.18050971032801
17.3,-7.456012338587348e-5,18.72478716630953,-47.65281421256286,-71.27521283369076
17.35,-0.00021609653861292313,16.569413721578556,-43.03147305577725,-73.4305862784213
17.4,-0.0005637539861838025,14.323868807782956,-38.867228729944976,-75.67613119221716
17.45,-0.0014269060750179367,11.932779512525544,-34.83460267691783,-78.06722048747437
17.5,-0.0037286476491878743,9.278662311862558,-30.664193851283642,-80.72133768813742
17.55,-0.01092782217408941,6.061219498564534,-25.99796968617241,-83.93878050143549
17.6,-0.04281711814557738,1.2186900656684938,-20.083059750544653,-88.7813099343315
17.65,-0.4487137520976271,-13.396418747221487,-10.080574646025376,-103.39641874722149
17.7,-0.9516590310974484,29.145860917369482,-7.060173421348928,119.1458609173695
17.75,-0.13236071681976977,10.729332233962547,-15.22626428532506,100.72933223396255
17.8,-0.061901291122899674,5.514544469219948,-18.49175992093795,95.51454446921996
17.85,-0.04098152325523955,2.1634047316230136,-20.272436793542234,92.163404731623
17.9,-0.03192355715832073,-0.5797106869750386,-21.352682337396594,89.42028931302498
17.95,-0.027281980608543855,-3.052477739695937,-22.03271800334281,86.94752226030407
18.0,-0.024730449226047575,-5.3837187526784565,-22.45788241644023,84.61628124732151
18.05,-0.02333837292856842,-7.633310524415977,-22.708801321349434,82.36668947558405
18.1,-0.022671440906137076,-9.832950238535986,-22.834382671899867,80.16704976146404
18.15,-0.022505384769697236,-12.001076035111511,-22.866226522282474,77.99892396488849
