Freq (GHz),s11dB,s11phs,s21db,s21phs
4.572,1.15719E-14,31.69852615,-30.88015192,-58.34075334
4.591,4.62877E-14,31.05277206,-30.7930651,-58.96796635
4.61,-1.06076E-14,30.40675322,-30.70582385,-59.59621688
4.629,-2.21795E-14,29.76045707,-30.61842394,-60.22551064
4.648,-0.003851865,29.1138708,-30.53086113,-60.85585329
4.667,-0.008903859,28.46698132,-30.44313118,-61.48725054
4.686,-0.013820194,27.8197753,-30.35522979,-62.11970807
4.705,-0.018598544,27.17223912,-30.26715267,-62.75323158
4.724,-0.023236615,26.5243589,-30.17889548,-63.3878268
4.743,-0.02773214,25.87612047,-30.09045389,-64.02349945
4.762,-0.032082883,25.22750941,-30.00182351,-64.66025529
4.781,-0.036286637,24.57851099,-29.91299996,-65.29810011
4.8,-0.040341226,23.92911022,-29.82397881,-65.9370397
4.819,-0.044244504,23.27929181,-29.73475561,-66.57707993
4.838,-0.047994353,22.62904017,-29.64532589,-67.21822668
4.857,-0.051588687,21.97833943,-29.55568516,-67.86048587
4.876,-0.055025449,21.3271734,-29.46582888,-68.50386349
4.895,-0.058302612,20.67552559,-29.3757525,-69.14836557
4.914,-0.06141818,20.02337921,-29.28545145,-69.79399821
4.933,-0.064370186,19.37071713,-29.1949211,-70.44076756
4.952,-0.067156693,18.71752192,-29.10415683,-71.08867985
4.971,-0.069775796,18.0637758,-29.01315395,-71.73774138
4.99,-0.072225618,17.40946066,-28.92190776,-72.38795854
5.009,-0.074504315,16.75455805,-28.83041354,-73.03933778
5.028,-0.076610071,16.09904918,-28.73866651,-73.69188567
5.047,-0.078541101,15.44291488,-28.64666188,-74.34560887
5.066,-0.080295652,14.78613564,-28.55439482,-75.00051414
5.085,-0.081872001,14.12869156,-28.46186044,-75.65660834
5.104,-0.083268453,13.47056238,-28.36905386,-76.31389846
5.123,-0.084483349,12.81172741,-28.27597013,-76.97239161
5.142,-0.085515057,12.15216562,-28.18260428,-77.63209502
5.161,-0.086361977,11.49185553,-28.08895129,-78.29301608
5.18,-0.087022541,10.83077525,-27.9950061,-78.95516228
5.199,-0.087495212,10.16890249,-27.90076364,-79.61854131
5.218,-0.087778484,9.506214479,-27.80621875,-80.28316098
5.237,-0.087870884,8.842688037,-27.71136628,-80.94902929
5.256,-0.08777097,8.178299506,-27.616201,-81.61615439
5.275,-0.087477331,7.513024761,-27.52071764,-82.28454462
5.294,-0.086988592,6.846839196,-27.42491092,-82.95420852
5.313,-0.086303407,6.179717708,-27.32877548,-83.62515482
5.332,-0.085420465,5.511634686,-27.23230592,-84.29739246
5.351,-0.084338488,4.842563997,-27.13549679,-84.97093058
5.37,-0.083056231,4.172478974,-27.03834262,-85.64577856
5.389,-0.081572483,3.501352397,-26.94083786,-86.32194602
5.408,-0.079886068,2.829156483,-26.84297691,-86.99944279
5.427,-0.077995845,2.155862867,-26.74475413,-87.678279
5.446,-0.075900707,1.481442589,-26.64616384,-88.35846501
5.465,-0.073599584,0.805866072,-26.54720026,-89.04001147
5.484,-0.071091442,0.129103112,-26.44785761,-89.72292932
5.503,-0.068375284,-0.548877148,-26.34813001,-90.40722977
5.522,-0.065450151,-1.228106229,-26.24801155,-91.09292438
5.541,-0.06231512,-1.908616341,-26.14749625,-91.78002499
5.56,-0.05896931,-2.5904404,-26.04657805,-92.4685438
5.579,-0.055411878,-3.273612049,-25.94525087,-93.15849335
5.598,-0.051642021,-3.95816568,-25.84350853,-93.84988654
5.617,-0.047658979,-4.644136458,-25.7413448,-94.54273663
5.636,-0.043462035,-5.331560338,-25.63875338,-95.23705729
5.655,-0.039050511,-6.020474097,-25.53572789,-95.93286256
5.674,-0.03442378,-6.710915352,-25.43226191,-96.63016693
5.693,-0.029581256,-7.402922589,-25.32834893,-97.3289853
5.712,-0.024522401,-8.096535188,-25.22398235,-98.02933302
5.731,-0.019246726,-8.791793451,-25.11915552,-98.73122591
5.75,-0.013753793,-9.488738631,-25.01386171,-99.43468026
5.769,-0.008043213,-10.18741296,-24.90809409,-100.1397129
5.788,-0.00211465,-10.88785968,-24.80184578,-100.8463411
5.807,4.24304E-14,-11.59012308,-24.6951098,-101.5545827
5.826,1.35006E-14,-12.29424851,-24.58787908,-102.2644561
5.845,3.47158E-14,-13.00028245,-24.48014648,-102.9759804
5.864,1.92865E-15,-13.7082725,-24.37190474,-103.689175
5.883,-1.92865E-15,-14.41826747,-24.26314656,-104.4040603
5.902,7.71462E-15,-15.13031734,-24.1538645,-105.1206569
5.921,-1.92865E-15,-15.84447341,-24.04405104,-105.8389864
5.94,-1.15719E-14,-16.56078822,-23.93369857,-106.559071
5.959,3.08585E-14,-17.27931569,-23.82279938,-107.2809336
5.978,2.12152E-14,-18.0001111,-23.71134563,-108.0045978
5.997,3.47158E-14,-18.72323118,-23.59932942,-108.730088
6.016,3.08585E-14,-19.4487341,-23.4867427,-109.4574294
6.035,3.27871E-14,-20.1766796,-23.37357734,-110.186648
6.054,1.73579E-14,-20.90712896,-23.25982507,-110.9177707
6.073,-2.12152E-14,-21.6401451,-23.14547754,-111.6508251
6.092,-4.82164E-14,-22.37579263,-23.03052624,-112.38584
6.111,0,-23.11413786,-22.91496257,-113.122845
6.13,-3.08585E-14,-23.85524896,-22.7987778,-113.8618706
6.149,5.78596E-14,-24.59919588,-22.68196304,-114.6029484
6.168,-5.78596E-15,-25.34605056,-22.56450933,-115.3461112
6.187,2.89298E-14,-26.09588687,-22.44640752,-116.0913925
6.206,-1.06076E-14,-26.84878075,-22.32764835,-116.8388274
6.225,1.15719E-14,-27.60481028,-22.20822241,-117.5884519
6.244,-3.76088E-14,-28.36405569,-22.08812017,-118.3403032
6.263,1.73579E-14,-29.12659952,-21.96733191,-119.0944199
6.282,-4.7252E-14,-29.89252664,-21.8458478,-119.8508419
6.301,2.70012E-14,-30.66192433,-21.72365783,-120.6096104
6.32,2.31439E-14,-31.43488239,-21.60075184,-121.370768
6.339,-5.78596E-15,-32.21149324,-21.47711951,-122.1343588
6.358,-3.08585E-14,-32.99185195,-21.35275036,-122.9004285
6.377,-1.06076E-14,-33.77605638,-21.22763373,-123.6690242
6.396,9.64327E-15,-34.56420727,-21.10175879,-124.4401949
6.415,-2.50725E-14,-35.35640833,-20.97511453,-125.213991
6.434,-3.66444E-14,-36.15276636,-20.84768977,-125.990465
6.453,-1.15719E-14,-36.95339131,-20.71947312,-126.769671
6.472,-3.85731E-14,-37.75839645,-20.59045304,-127.5516652
6.491,-1.15719E-14,-38.56789845,-20.46061774,-128.3365055
6.51,1.15719E-14,-39.3820175,-20.32995529,-129.1242522
6.529,-4.7252E-14,-40.20087744,-20.19845352,-129.9149676
6.548,2.50725E-14,-41.02460588,-20.06610006,-130.7087162
6.567,3.85731E-14,-41.85333432,-19.93288234,-131.505565
6.586,2.50725E-14,-42.68719831,-19.79878755,-132.3055833
6.605,2.70012E-14,-43.52633755,-19.6638027,-133.1088428
6.624,3.08585E-14,-44.37089606,-19.52791452,-133.9154182
6.643,-2.79655E-14,-45.22102232,-19.39110956,-134.7253865
6.662,-7.71462E-15,-46.07686941,-19.25337411,-135.5388279
6.681,9.64327E-15,-46.93859515,-19.11469423,-136.3558255
6.7,1.35006E-14,-47.80636232,-18.97505573,-137.1764653
6.719,-7.71462E-15,-48.68033871,-18.83444418,-138.0008367
6.738,-2.12152E-14,-49.56069739,-18.69284489,-138.8290325
